Measurement of ion displacement via RF power variation for excess micromotion compensation,https://arxiv.org/abs/2102.00788,"We demonstrate a method of micromotion minimization of a trapped ion in a linear Paul trap based on the precision measurement of the ion trapping position displacement due to a stray electric field in the radial plane by ion fluorescence imaging. The amount of displacement in the radial plane is proportional to the strength of a stray electric field. Therefore, we evaluated the micromotion compensation condition by measuring the ion displacements from the ion equilibrium position using two different radial trap frequencies with various combinations of the compensation voltage. The residual electric field uncertainty of this technique reached a few volts per meter. This compensation technique does not depend on the orientation of the incident cooling laser or the detuning and imaging direction. Therefore, this method is suitable for a planar ion trap, a stylus ion trap, which limits the propagation angle of lasers, or miniaturized ion trap systems for sensing and metrological applications."
An End-To-End-Trainable Iterative Network Architecture for Accelerated Radial Multi-Coil 2D Cine MR Image Reconstruction,https://arxiv.org/abs/2102.00783,"Iterative Convolutional Neural Networks (CNNs) which resemble unrolled learned iterative schemes have shown to consistently deliver state-of-the-art results for image reconstruction problems across different imaging modalities. However, because these methodes include the forward model in the architecture, their applicability is often restricted to either relatively small reconstruction problems or to problems with operators which are computationally cheap to compute. As a consequence, they have so far not been applied to dynamic non-Cartesian multi-coil reconstruction problems. Methods: In this work, we propose a CNN-architecture for image reconstruction of accelerated 2D radial cine MRI with multiple receiver coils. The network is based on a computationally light CNN-component and a subsequent conjugate gradient (CG) method which can be jointly trained end-to-end using an efficient training strategy. We investigate the proposed training-strategy and compare our method to other well-known reconstruction techniques with learned and non-learned regularization methods. Results: Our proposed method outperforms all other methods based on non-learned regularization. Further, it performs similar or better than a CNN-based method employing a 3D U-Net and a method using adaptive dictionary learning. In addition, we empirically demonstrate that even by training the network with only iteration, it is possible to increase the length of the network at test time and further improve the results. Conclusions: End-to-end training allows to highly reduce the number of trainable parameters of and stabilize the reconstruction network. Further, because it is possible to change the length of the network at test time, the need to find a compromise between the complexity of the CNN-block and the number of iterations in each CG-block becomes irrelevant."
Many Hands Make Light Work: Using Essay Traits to Automatically Score Essays,https://arxiv.org/abs/2102.00781,"Most research in the area of automatic essay grading (AEG) is geared towards scoring the essay holistically while there has also been some work done on scoring individual essay traits. In this paper, we describe a way to score essays holistically using a multi-task learning (MTL) approach, where scoring the essay holistically is the primary task, and scoring the essay traits is the auxiliary task. We compare our results with a single-task learning (STL) approach, using both LSTMs and BiLSTMs. We also compare our results of the auxiliary task with such tasks done in other AEG systems. To find out which traits work best for different types of essays, we conduct ablation tests for each of the essay traits. We also report the runtime and number of training parameters for each system. We find that MTL-based BiLSTM system gives the best results for scoring the essay holistically, as well as performing well on scoring the essay traits."
Spiral structures in gravito-turbulent gaseous disks,https://arxiv.org/abs/2102.00775,"Gravitational instabilities can drive small-scale turbulence and large-scale spiral arms in massive gaseous disks under conditions of slow radiative cooling. These motions affect the observed disk morphology, its mass accretion rate and variability, and could control the process of planet formation via dust grain concentration, processing and collisional fragmentation. We study gravito-turbulence and the associated spiral structures in thin gaseous disks subject to a prescribed cooling law. We characterize the morphology, coherence and propagation of the spirals, looking out for departures from viscous disk models. We use the finite-volume code Pluto to integrate the equations of self-gravitating hydrodynamics in three-dimensional spherical geometry. The gas is cooled over longer-than-orbital timescales to trigger the gravitational instability and sustain turbulence. We ran models for various disk masses and cooling rates. In all cases considered, the turbulent gravitational stress transports angular momentum outward at a rate compatible with viscous disk theory. The dissipation of orbital energy happens via shocks in spiral density wakes, heating the disk back to a marginally stable thermal equilibrium. These wakes drive vertical motions and contribute to mix material from the disk with its corona. They are formed and destroyed intermittently, and they nearly corotate with the gas at every radius. As a consequence, large-scale spiral arms exhibit no long-term global coherence and energy thermalization is an essentially local process. In the absence of radial substructures or tidal forcing, and provided with a local cooling law, gravito-turbulence reduces to a local phenomenon in thin gaseous disks."
Joint Beamforming and Phase Optimization in a Multi-user Communication System Composed of Dual Reconfigurable Intelligent Surfaces,https://arxiv.org/abs/2102.00767,"Reconfigurable Intelligent Surface (RIS) has becoming a useful tool in future wireless communication systems for close-distance communication network. This paper we use Reconfigurable Intelligent Surface (RIS) for downlink multi-user communication designed to improve energy collection performance while satisfying wireless information and Power Transfer (WIPT). The designed system consists of an IRS-assisted system consists of a multi-antenna assisted base station (BS) and two opposite multi-antenna assisted information receiver cooperated (RIS) as energy receiver (ERs) that meets energy collection requirements. Based on the electromagnetic property of Reconfigurable Intelligent Surface (RIS), like two mirrors that are opposite each other, setting two Reconfigurable Intelligent Surface (RIS) attached to the city buildings to reflect the sending signals. The transmitting precoding of the Multi-antenna Auxiliary Base Station (BS) and the angular phase transfer matrix of the multi-antenna Auxiliary Information Receiver (IRs) need to be optimized together to maximize the energy harvesting of IoT devices for energy efficiency (EE) of the IRs system and to provide users with the efficiency of the received signal. In order to solve the joint optimization problem effectively, we turn the non-convex maximize problem into the equivalent formal error method based on the mean square, and finally use the iterative algorithm for optimization. As for algorithm, we respectively use MSE method, semidefinite relaxation techniques to simplify transmitting beamforming matrix and the matrix phase shift. Through the observation of simulation data, it can be concluded that the performance optimization method of SDR based on RIS is effective."
Bosonic Indistinguishability-Dependent Contextuality,https://arxiv.org/abs/2102.00746,"We uncover a form of quantum contextuality that connects maximal contextuality to boson indistinguihability in a similar way maximal nonlocality with respect to the Clauser-Horne-Shimony-Holt Bell inequality is connected to maximal entanglement. Unlike previous forms of photonic contextuality, this form cannot be simulated with classical light, as it relies on indistinguishability and higher-order interference. Ideal measurements on the bosonic system can be performed by means of dispersive coupling with an ancillary qubit. This allows us delaying at will the ending of each measurement and targeting high-dimensional contextual correlations, which are features which cannot be achieved with existing platforms. "
Fusion of conformal defects in four dimensions,https://arxiv.org/abs/2102.00718,"We consider two conformal defects close to each other in a free theory, and study what happens as the distance between them goes to zero. This limit is the same as zooming out, and the two defects have fused to another defect. As we zoom in we find a non-conformal effective action for the fused defect. Among other things this means that we cannot in general decompose the two-point correlator of two defects in terms of other conformal defects. We prove the fusion using the path integral formalism by treating the defects as sources for a scalar in the bulk."
Real-time Hall-effect detection of current-induced magnetization dynamics in ferrimagnets,https://arxiv.org/abs/2102.00716,"Measurements of the transverse Hall resistance are widely used to investigate electron transport, magnetization phenomena, and topological quantum states. Owing to the difficulty of probing transient changes of the transverse resistance, the vast majority of Hall effect experiments are carried out in stationary conditions using either dc or ac currents. Here we present an approach to perform time-resolved measurements of the transient Hall resistance during current-pulse injection with sub-nanosecond temporal resolution. We apply this technique to investigate in real-time the magnetization reversal caused by spin-orbit torques in ferrimagnetic GdFeCo dots. Single-shot Hall effect measurements show that the current-induced switching of GdFeCo is widely distributed in time and characterized by significant activation delays, which limit the total switching speed despite the high domain-wall velocity typical of ferrimagnets. Our method applies to a broad range of current-induced phenomena and can be combined with non-electrical excitations to perform pump-probe Hall effect measurements. "
Ground-aware Monocular 3D Object Detection for Autonomous Driving,https://arxiv.org/abs/2102.00690,"Estimating the 3D position and orientation of objects in the environment with a single RGB camera is a critical and challenging task for low-cost urban autonomous driving and mobile robots. Most of the existing algorithms are based on the geometric constraints in 2D-3D correspondence, which stems from generic 6D object pose estimation. We first identify how the ground plane provides additional clues in depth reasoning in 3D detection in driving scenes. Based on this observation, we then improve the processing of 3D anchors and introduce a novel neural network module to fully utilize such application-specific priors in the framework of deep learning. Finally, we introduce an efficient neural network embedded with the proposed module for 3D object detection. We further verify the power of the proposed module with a neural network designed for monocular depth prediction. The two proposed networks achieve state-of-the-art performances on the KITTI 3D object detection and depth prediction benchmarks, respectively."
Autonomous Navigation through intersections with Graph ConvolutionalNetworks and Conditional Imitation Learning for Self-driving Cars,https://arxiv.org/abs/2102.00675,"In autonomous driving, navigation through unsignaled intersections with many traffic participants moving around is a challenging task. To provide a solution to this problem, we propose a novel branched network G-CIL for the navigation policy learning. Specifically, we firstly represent such dynamic environments as graph-structured data and propose an effective strategy for edge definition to aggregate surrounding information for the ego-vehicle. Then graph convolutional neural networks are used as the perception module to capture global and geometric features from the environment. To generate safe and efficient navigation policy, we further incorporate it with conditional imitation learning algorithm, to learn driving behaviors directly from expert demonstrations. Our proposed network is capable of handling a varying number of surrounding vehicles and generating optimal control actions (e.g., steering angle and throttle) according to the given high-level commands (e.g., turn left towards the global goal). Evaluations on unsignaled intersections with various traffic densities demonstrate that our end-to-end trainable neural network outperforms the baselines with higher success rate and shorter navigation time."
